Instruction,Latency1,,,,Throughput,,
CPUID,"06_4E,06",06_3D/4,06_3C/4,"06_3A,","06_4E,06 06_3D/4",06_3C/4,"06_3A,"
"",_5E,7/56,5/46/3F,06_3E,_5E 7/56,5/46/3F,06_3E
MUL r6410,"4, 5","3, 4","3, 4","3, 4",1 1,1,1
NEG/NOT,1,2,2,2,0.25 0.25,0.25,0.33
PAUSE,,,,,~140 ~10,~10,~10
"RCL/RCR reg, 1",2,2,2,2,2 1.5,1.5,1.5
RCL/RCR,6,6,6,6,6 6,6,6
RDTSC,,,,,~13 ~10,~10,~20
RDTSCP,,,,,~20 ~30,~30,~30
ROL/ROR reg 1,1 (2 flg),1 (2 flg),1 (2 flg),1 (2 flg),1 1,1,1
ROL/ROR reg imm,1,1,1,1,0.5 0.5,0.5,0.5
"ROL/ROR reg, cl",2,2,2,2,1.5 1.5,1.5,1.5
LAHF/SAHF,3,2,2,2,,,
"SAL/SAR/SHL/SHR reg, imm",1,1,1,1,0.5 0.5,0.5,0.5
"SAL/SAR/SHL/SHR reg, cl",1.5,1.5,1.5,1.5,1.5 1.5,1.5,1.5
SETBE,2,2,2,2,1 1,1,1
SETE,1,1,1,1,0.5 0.5,0.5,0.5
"SHLD/RD reg, reg, cl",6,4,4,2 (4 flg),1.5 1,1,1.5
"SHLD/RD reg, reg, imm",3,3,3,1,0.5 0.5,0.5,0.5
XSAVE11,,,,,~98 ~100,~100,~100
XSAVEOPT11,,,,,~86 ~90,~90,~90
XADD,2,2,2,2,1 1,1,1
"XCHG reg, reg",1,1,1,2,1 1,1,1
"XCHG reg, mem",22,19,19,19,22 19,19,19
